folder,file,isCopy,title,size,printer,version,lastBy,forms,bytes
WTR,WTR. PORK BELLY THIN SLICE 1#,false,WTR. PORK BELLY THIN SLICE 1#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,448861
WTR,WTR. PORK BELLY THIN SLICE 30#,false,WTR. PORK BELLY THIN SLICE 30#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,419278
WTR,WTR.AM.WG.CRS.CHADOL.1#,false,WTR.AM.WG.CRS.SHB.2#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,483086
WTR,WTR.AM.WG.CRS.CHADOL.20#,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,568360
WTR,WTR.AM.WG.CRS.SHB.1#,false,WTR.AM.WG.CRS.SHB.2#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,484708
WTR,WTR.AM.WG.CRS.SHB.20#,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,546338
WTR,WTR.CHIX TERI 1#,false,WTR.MARINATED CLOD.1#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,485334
WTR,WTR.CHIX TERI 30#,false,WTR.MARINATED CLOD.1#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,487012
WTR,WTR.MARI.SR.INDIV.1#,false,WTR.MARI.SR.INDIV.1#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,423882
WTR,WTR.MARI.SR.INDIV.20#,false,WTR.MARINATED CLOD.1#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,423422
WTR,WTR.MARINATED CLOD.1#,false,WTR.MARINATED CLOD.1#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,417092
WTR,WTR.MARINATED CLOD.30#,false,WTR.AM.WG.CRS.SHB.2#,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,571730
WTR,WTR.MARINATED RE.2# OUTER (1),false,WTR.MARINATED RE.2# OUTER (1),"6"" x 4""",Zebra ZD421 (203 dpi) - ZPL,2022 R7,DELL,1,163113
